gene,score
H3-5,0.00029599970562824607
H3-7,0.0002951349871010815
AMY2B,0.00029512980044151785
NDUFS8,0.00029461456533085023
HPRT1,0.0002944916583958009
JUN,0.0002943990184896272
TGFB1,0.0002933955893065279
YARS1,0.0002930587502016169
OXSM,0.0002924803556291742
ADK,0.00029236713852032176
GK2,0.0002904420939472714
PUDP,0.0002901682845396064
GPD1,0.0002892548755867489
GK,0.00028911793843415263
GMPPB,0.00028805164326159405
BNIP3,0.0002863636661951828
RBM45,0.0002859493145597828
PRPS1L1,0.00028510629199691816
APRT,0.0002850512798403151
ATP5PO,0.0002819673612896901
RPL5,0.0002819174060437645
RPL23,0.0002802148910993792
POLR1B,0.00028018714154999963
RPS16,0.0002755539103924251
AR,0.0002749908572955783
PGM5,0.00027483214890504273
DPM1,0.0002732600009659571
SUMO2,0.00027294029454589576
EGLN1,0.0002727462331434792
YBX1,0.0002724988574726578
GUSB,0.00027224080936507874
RACK1,0.0002706596514246291
MED1,0.000270401484794754
ITGAM,0.0002699291515172255
CXCR4,0.00026980615008183746
NDUFS3,0.0002695571023310203
RPL9,0.00026933319656416844
BECN1,0.00026903175944946407
TBP,0.0002690058337896807
PHB1,0.0002688710525688668
NFKB1,0.0002684560771845081
MRPL19,0.00026799415807902694
TARDBP,0.0002677877183456179
CD4,0.0002668893412628916
RPS23,0.00026588108021251646
AK1,0.0002658296760560881
HMGN1,0.00026573467188778315
RPS14,0.00026464721923247827
ACSL1,0.00026324096809406025
RAN,0.0002623786989011098
EIF4A3,0.00026221507970408534
MAT2A,0.00026220684961130087
SIRT2,0.00026169454210829134
HSPA1B,0.00026167297864916665
CCT7,0.00026139401410824205
PSMA6,0.00026133285695122084
APP,0.0002605607297325587
CD74,0.00025937771596473333
MRTO4,0.0002588725512770243
RPL23A,0.0002586770500180416
MRPL13,0.00025763370301851266
CTLA4,0.0002571271033388465
ACTA1,0.00025693583947048436
SLC4A1,0.0002565845379853371
PIGA,0.00025651529134193785
RPS3A,0.00025592262335339625
MRPS5,0.00025550350749991814
CAV1,0.00025482181031641376
HDAC3,0.0002547850009390678
RAD23B,0.000254611822150881
PGLS,0.0002545028068500111
HMBS,0.0002544292296927649
ADSS2,0.00025405348771940486
CXCL12,0.0002536581587764099
MRPL4,0.0002536293778879114
MRPS10,0.0002531764680616396
TLR4,0.00025296526405791563
CTPS1,0.0002527597711829493
APOB,0.000252582251480267
MRPS12,0.0002523694873672765
PDCD11,0.0002523602690660167
MAT1A,0.0002520539377300787
RPL7,0.00025193882596114323
TLN1,0.00025181120017853727
RPL17,0.0002516868587663354
LAMP2,0.00025160706770486476
EPO,0.0002507295353136098
HDAC1,0.0002505055853959812
RPL10A,0.00025050293881867514
FLT3LG,0.0002499863971948033
H4C6,0.00024955751513675825
UPRT,0.0002495061850494703
PHKA1,0.00024930680839921213
MRPL2,0.0002488867626259044
FOS,0.0002487662247187565
NPM1,0.0002482393762509466
P4HB,0.00024822597368937016
TH,0.0002481561737235108
ALAS2,0.0002475419321040735
MAPT,0.00024694047038249187
MMUT,0.00024633445284739117
MRPS11,0.0002457148323598032
PNP,0.0002455122880306376
ATP5IF1,0.00024530832282097423
ERVW-1,0.00024480379975273033
EFL1,0.0002445787998574667
CLPB,0.0002443848093827638
BNIP3L,0.0002443437429205298
FASLG,0.00024377982606336413
HSDL2,0.00024335211663725266
GABARAPL2,0.00024315001824982003
ACSL3,0.0002429926279039971
EGLN3,0.0002418770749147797
TUBB4A,0.00024178274275925496
DDX39B,0.00024163238848942732
POLR1C,0.00024158618582686528
GABARAPL1,0.00024148583297649024
